X,problematic_countries,country_new_name
1,Antigua and Barbuda,Antigua
2,"Bonaire, Saint Eustatius and Saba","Bonaire, Saint Eustatius and Saba"
3,British Virgin Islands,British Virgin Islands
4,Brunei Darussalam,Brunei
5,Cases on an international conveyance Japan,Cases on an international conveyance Japan
6,Congo,Republic of Congo
7,Cote dIvoire,Ivory Coast
8,CuraAï¿½ao,Curacao
9,Czechia,Czech Republic
10,Eswatini,Swaziland
11,Falkland Islands (Malvinas),Falkland Islands
12,Gibraltar,Gibraltar
13,Guinea Bissau,Guinea-Bissau
14,Holy See,Vatican
15,North Macedonia,Macedonia
16,Saint Kitts and Nevis,Nevis
17,Saint Vincent and the Grenadines,Grenadines
18,Timor Leste,Timor-Leste
19,Trinidad and Tobago,Trinidad
20,Turks and Caicos islands,Turks and Caicos Islands
21,United Kingdom,UK
22,United Republic of Tanzania,Tanzania
23,United States of America,USA
24,United States Virgin Islands,Virgin Islands
